material,bandgap
Li2MnO3,1.7742000000000002
Li4Mn5O12,0.9998
Li5Mn7O16,0.7793000000000001
Li6MnO4,2.6186
LiFeO2,1.6166999999999998
Li5FeO4,3.0546
Li2FeO2,1.7893000000000001
Li2FeO3,0.0965999999999998
Li(CoO2)2,0.6284000000000001
Li6CoO4,2.4
Li8CoO6,1.0757999999999999
LiCoO2,0.6623000000000001
Li5CoO4,1.6006000000000002
Li7Co5O12,0.06020000000000003
Li2NiO3,1.3307000000000002
Li(NiO2)2,0.7825000000000002
LiCuO,1.4376000000000002
LiCuO2,0.37780000000000014
Li3CuO3,1.1780000000000002
Li6ZnO4,3.5116
Li10Zn4O9,2.329
LiGa5O8,2.5222999999999995
Li5GaO4,3.763
LiGaO2,3.1981
Li2GeO3,3.568
Li4Ge5O12,2.9262000000000006
Li4GeO4,4.0961
Li2Ge7O15,3.0879
Li3AsO4,4.1268
LiAsO3,3.3857999999999997
Li2SeO4,3.8324
Li4SeO5,2.4442
LiYO2,4.108199999999999
Li2ZrO3,3.7336
Li6Zr2O7,3.9436
Li8Nb2O9,3.2086
LiNb3O8,2.9705000000000004
LiNbO2,1.5794999999999995
LiNbO3,3.3358000000000003
Li3NbO4,3.7757
Li2MoO3,1.5972999999999997
Li4MoO5,0.0
Li2MoO4,4.1184
LiTcO3,0.39490000000000025
Li3RuO4,0.0
Li2RuO3,0.0
LiRhO2,1.513
Li2RhO3,0.0
Li2PdO2,1.1824999999999999
Li2PdO3,1.4062000000000001
LiAgO2,0.6091000000000001
LiAg3O2,0.7277999999999998
LiAgO,1.0898999999999999
LiInO2,1.8142999999999998
Li2SnO3,3.125
Li8SnO6,3.8134000000000006
Li5SbO5,2.914
LiSb3O8,0.9743999999999993
Li3SbO4,3.0560000000000005
LiSbO3,2.6465
Li2TeO4,2.2670999999999997
Li2TeO3,3.6614
Li2Te2O5,3.4847000000000006
Li4TeO5,0.0
Li6TeO6,2.798
LiIO3,3.7255000000000003
Li2CeO3,2.3497000000000003
EuLiO2,0.0
LiGdO2,3.2803999999999998
TbLiO2,4.5467
LiDyO2,4.5644
LiHoO2,4.0322000000000005
LiErO2,4.1087
LiTmO2,4.3152
LiLuO2,4.5008
Li2HfO3,4.689
Li6Hf2O7,4.4135
Li3TaO4,4.5667
LiTaO3,3.7003
LiTa3O8,3.4495
Li5TaO5,3.7142999999999997
Li2WO4,3.9680000000000004
Li4WO5,0.0
Li5ReO6,2.1582999999999997
LiReO4,4.0225
Li7OsO6,0.7222999999999997
Li2IrO3,0.008900000000000574
Li2PtO3,1.9623999999999997
Li8PtO6,2.1611
Li5AuO4,0.0
Li3AuO3,1.8710999999999998
LiAuO2,1.5375
Li5TlO4,1.6600000000000001
Li4PbO4,1.4367
Li2PbO3,1.044
Li3BiO3,2.4379
LiBiO3,0.1445000000000003
Li5BiO5,1.3597000000000001
Li7BiO6,1.8635
LiBiO2,2.0370000000000004
Li3BiO4,1.3994999999999997
LiUO3,0.41000000000000014
Li4UO5,2.0777
Li6UO6,2.1685
Li3UO4,0.3780000000000001
Li2UO4,2.1005
Li4NpO5,0.5886000000000005
Li3AlF6,7.688400000000001
LiPF6,7.5394
Li2TiF6,4.3715
Li3VF6,2.4336
LiV2F6,0.13629999999999987
LiVF6,3.0770999999999997
Li2VF6,2.1121
LiVF4,2.1161
Li3CrF6,3.9644000000000004
Li2CrF6,1.5229
Li2MnF5,1.8414
LiMnF4,1.855
LiMnF6,0.0
Li2MnF6,2.9756
LiFe2F6,1.7058
Li2FeF6,0.31289999999999996
Li3FeF6,3.9832
LiFeF5,0.5079000000000002
LiCoF4,1.9285
Li2NiF4,5.0816
LiCu5F12,0.0
LiCuF4,0.8278999999999999
LiCu2F6,0.0
Li2CuF6,0.0
Li3CuF6,0.7167000000000001
LiCu3F10,0.0
Li3GaF6,6.2804
Li2GeF6,5.7409
LiAsF6,5.1404
LiYF4,7.8341
Li3Zr4F19,5.6198
Li4ZrF8,5.9638
Li2ZrF6,6.477399999999999
Li2NbF6,0.0
Li2MoF6,2.2737
Li2RuF6,0.0398
LiRhF6,0.0
Li2RhF6,0.0
Li2PdF6,1.8867
LiAgF4,1.3459000000000003
LiAgF6,0.8249999999999997
LiAgF2,1.8423
Li2AgF6,0.0
LiInF4,4.0149
LiSbF6,4.933400000000001
CsLiF2,6.2744
LiLuF4,7.901199999999999
LiWF6,3.4707999999999997
LiIrF6,0.0
Li2PtF6,2.4927
LiAuF4,2.085
LiBiF4,4.8473
LiBiF6,2.5394
LiUF5,0.2607999999999997
Na(LiSi2)3,0.12260000000000026
NaLiS,3.0482999999999993
NaLiSe,2.4375
NaLi2Sb,0.6800000000000002
NaLiTe,2.2840000000000003
Na2LiAu3,0.0
NaLi2Bi,0.32509999999999994
Li2MgSi,0.08880000000000043
Li12Mg3Si4,0.0
LiMgP,1.5391000000000004
Li2MgCl4,5.2764
LiMg2Zn,0.1876000000000002
LiMg2Ga,0.0
LiMgAs,1.3722999999999996
LiMg2Rh,0.0
LiMg2Pd,0.0
LiMgPd2,0.0
LiMg2Ag,0.0
Li2MgCd,0
Li2MgIn,0.0
Li2MgSn,0.0
LiMg2Pt,0.012300000000000644
LiMgAu2,0.0
LiMg2Hg,0.0
LiMgTl2,0
Li2MgTl,0.0
Li2MgPb,0.0
LiMgBi,0.3618999999999999
LiAlSi,0.11209999999999987
LiAlCl4,5.5616
LiCa2Al,0.02950000000000008
LiAl2Ni,0.0
LiAlCu2,0.08919999999999995
LiAlGe,0.056400000000000006
LiAlSe2,3.0233
LiAlRh2,0.0
LiAl2Rh,0.0
LiAl2Pd,0.0
Li2AlPd,0.0
LiAlPd2,0
Li2AlAg,0.0
LiAlAg2,0.0
LiAlTe2,2.4411
LiNd2Al,0.0
PmLi2Al,0.0
Pm2LiAl,0.0
LiAl2Ir,0.0
LiAlPt2,0.19559999999999977
Li2AlPt,0.0
LiAl2Pt,0.0
LiAlAu2,0.11609999999999943
Li5SiP3,1.3803
K7LiSi8,1.6927
Li2CaSi,0.4251999999999998
LiCaSi2,0.0
LiCa2Si3,0.0
LiCo2Si,0.0
LiSiNi2,0.0
LiSiCu2,0.0
Li2ZnSi,0.0
Sr2LiSi3,0.0
LiYSi,0.0
LiSiRu2,0.0
LiSiRh2,0.0
Li(SiRh)2,0.0
LiSiPd2,0
BaLi2Si,0.0
Ba2LiSi3,0.09229999999999983
Li2Nd2Si3,0.0
PmLi2Si,0
Pm2LiSi,0.0
Eu2LiSi3,0
YbLi2Si,0.0
LiSiIr2,0.2970999999999986
LiAc2Si,0
Li3PS4,2.9512
LiFeP,0.0
Li2Fe12P7,0.0
Li(Co3P2)2,0.0
LiNi3P2,0.01809999999999956
Li2Ni12P7,0.0
Li(NiP)2,0.0
Li5(Cu2P3)2,0
Li2CuP,0.0
Li(CuP)2,0.0
LiZnP,1.3386
SrLiP,1.3430999999999997
Sr(Li2P)2,0.9758999999999998
BaLiP,0.9631000000000003
Li3LaP2,0.6124999999999998
Li2CeP2,0.8280999999999996
KLiS,3.0571
LiScS2,1.5776000000000003
LiTiS2,0.0
Li(TiS2)3,0.0
Li4TiS4,2.3658
Li3VS4,1.8832
LiCrS2,0.6463000000000001
Li(MnS2)2,0
LiCuS,1.5648000000000004
LiGaS2,2.9608
Li4GeS4,2.4834
LiAsS2,1.0664000000000002
Li3AsS3,2.2848999999999995
RbLiS,2.745
LiYS2,1.9195999999999995
Li3NbS4,1.4084000000000003
LiNbS2,0.7134999999999998
Li5(NbS2)7,0.0
Li9(NbS2)14,0.0
Li2Mo3S4,1.4366000000000003
Li3SbS4,2.1452
LiSbS2,0.0
Li2TeS3,1.4569000000000005
LiSmS2,1.9213999999999998
LiDyS2,1.9344999999999999
LiHoS2,1.9652000000000003
LiErS2,2.0083
Li2(TaS2)3,0.0
LiAuS,1.5804
Li3AuS2,2.0985
LiBiS2,0.8113000000000001
Li2US3,0.0
Li5V5Cl16,1.1269
Li6VCl8,1.5371000000000001
Li5CrCl8,1.7483
Li2MnCl4,1.8782
LiGaCl3,3.6888
LiGaCl4,4.4866
RbLiCl2,5.1482
LiNb6Cl19,0.7273000000000001
LiNb3Cl8,0.9318
Li2CdCl4,3.6296999999999997
Li3InCl6,3.373
CsLiCl2,5.0329
LiGdCl4,2.136
Li3ErCl6,5.2109000000000005
Li2UCl6,0.19389999999999974
KLi2As,0.6878
KLiSe,2.5249
K2LiSn4,1.0073999999999996
KLiTe,2.4134
LiCa2Ga,0.0
LiCa2Ge3,0.0
LiCaGe2,0.0
LiCaAs,1.8068000000000002
LiCa2Rh,0.015600000000000058
LiCa2Cd,0
LiCa2In,0
LiCaSn,0.0
Li2CaSn,0.19310000000000027
LiCaSb,0.6443000000000003
LiCa2Tl,0
LiCaPb,0.0
Li2CaPb,0.04800000000000004
LiCaBi,0.5790000000000002
LiSc2Tc,0.047399999999999665
LiSc2Ru,0.0
LiSc2Rh,0.0
LiScPd2,0.0
LiSc2Os,0.0
LiSc2Ir,0.0
LiScPt2,0
LiScAu2,0.08570000000000011
LiSc2Au,0.008000000000000007
LiScTl2,0.0730000000000004
Li(TiSe2)3,0.0
LiTiRh2,0.029899999999999594
LiTiIr2,0
LiTiPt2,0.0
Li7VAs4,0.893
LiVRh2,0.02059999999999995
LiVIr2,0.0
LiMn9Se10,0.0
LiMnPd2,0.11870000000000047
LiMnPt2,0.14319999999999933
Li(FeGe)6,0.0
Li(Fe3Ge2)2,0
LiFeAs,0.0
Li19(FeAs)20,0.000700000000000145
Li(CoGe)6,0.0
LiCo2Ge,0.0
LiCoAs,0.0
LiTm2Co,0.1365999999999996
LiZn2Ni,0
LiGa2Ni,0.3120000000000003
LiGaNi2,0.0484
LiNi2Ge,0
Li(NiGe)6,0
LiNi2Sn,0.0
LiGaCu2,0.0
Li13(Ga7Cu2)3,0.0
LiCu2Ge,0.0
Li2CuGe,0.0
Li2CuAs,0.0
LiCuPd2,0.0
Li2CuSn,0.0
LiCu2Sn,0.0
Li8Zn2Ge3,0.0
Li2ZnGe,0.0
LiZnGe,0.0
LiZnAs,0.5474999999999999
LiZn2Rh,0.0
LiZn2Pd,0
LiZnPd2,0.2118000000000002
LiZnAg2,0
LiZnSb,0.4057000000000004
PmLiZn2,0
LiZn2Ir,0.0
LiZn2Pt,0
Li2ZnAu,0
LiZnAu2,0.0042999999999997485
LiZn2Au,0
LiGaGe,0.0
LiGaSe2,2.0656
LiGaBr4,3.4374000000000002
LiGaBr3,2.956
LiYGa4,0.0
LiGa2Ru,0.0
LiGaRh2,0.0
LiGa2Rh,0.0
Li2GaRh,0.0
Li2GaPd,0.0
LiGa2Pd,0.0
LiGaPd2,0.0
LiGaAg2,0.0
LiGaTe2,1.5885000000000002
LiGaI4,2.5201
LiGaI3,2.2473
Pm2LiGa,0.0
PmLi2Ga,0.16320000000000023
Yb2LiGa,0.0
LiGa2Ir,0.0
Li2GaIr,0.0
LiGaPt2,0.0
LiGa2Pt,0.0
Li2GaPt,0.0
LiGaAu2,0.0
Li2GaAu,0.0
LiAc2Ga,0.0
SrLiGe2,0.0
LiYGe,0.0
LiGeRh2,0.0
LiGePd2,0.0
LiAg2Ge,0.0
LiInGe,0.03589999999999982
Ba2LiGe3,0.09699999999999998
BaLiGe2,0.0
LiCeGe2,0.0005999999999994898
Li2Ce2Ge3,0
LiPrGe,0.0
LiPrGe2,0.0965000000000007
LiNdGe,0.0
Pm2LiGe,0.0
LiSmGe,0.0
EuLi2Ge,0.0
Eu2LiGe3,0.08919999999999995
LiGdGe,0
LiHoGe,0.0
LiErGe,0.0
YbLiGe2,0.0
Li2(LuGe)3,0.0
LiGeIr2,0.0
LiGeAu2,0.0
Li2GeAu,0
LiAc2Ge,0
LiAsRh2,0
LiAsPd2,0.0
LiCdAs,0.0
Ba3(LiAs)4,0.2653000000000003
BaLiAs,0.5951
Li3LaAs2,0.5023
Li2CeAs2,0.6880999999999999
Li3NdAs2,0.035800000000000054
RbLiSe,2.3089
LiYSe2,1.5238999999999998
LiZrSe2,0.0
LiNbSe2,0.7295999999999996
LiInSe2,1.5731
Li2TeSe3,0.5098000000000003
LiSmSe2,1.5106
LiGdSe2,1.1762000000000001
TbLiSe2,1.5002999999999997
LiDySe2,1.5347999999999997
LiHoSe2,1.5729000000000002
LiErSe2,1.6151
Li3ErBr6,4.3485
Li2UBr6,0.15039999999999987
Rb2LiSn4,0.9014000000000002
SrLi2Sn,0.0
SrLiSb,0.6857999999999995
Sr3(LiSb)4,0.0
Sr17(Li2Hg3)3,0.0
Sr2LiTl,0.0
SrLi2Pb,0.0
SrLiBi,0.5558000000000001
LiY2Ru,0.0
LiY2Rh,0.0
Li2Y5In9,0.0
LiYSn,0.0
LiY2Os,0.0
LiY2Ir,0.010399999999999743
LiYAu2,0.0
LiYHg2,0.14429999999999987
Li2YTl,0.0
LiYTl2,0.1416000000000004
Li3YBi2,0.0
LiZr2Tc,0
LiZrRh2,0.0
LiZr2Os,0
LiZrPt2,0.0
LiZrAu2,0.0
LiNbRh2,0.0
LiNbIr2,0.0
LiDy2Tc,0.07399999999999984
LiHo2Tc,0.10529999999999973
LiEr2Tc,0.14150000000000018
LiTm2Tc,0.07969999999999988
LiLu2Tc,0.0
LiSn4Ru,0.0
LiLa2Ru,0
LiPr2Ru,0.0
LiNd2Ru,0.0
Pm2LiRu,0
LiSm2Ru,0.0
